year,team_id,team_name,representative_name,representative_kana,representative_tel,representative_email,male_members,female_members,medical_supporter,jrfu_coach,safety_lecturer,category,status,annual_fee_flg,individual_entry_flg,team_entry_flg
2024,1002,チーム1,代表者1,ダイヒョウシャ1,090-1234-5600,team1@example.com,10,5,メディカル1,コーチ1,講習者1,1,1,0,1,0
2024,1002,チーム2,代表者2,ダイヒョウシャ2,090-1234-5601,team2@example.com,11,6,メディカル2,コーチ2,講習者2,2,2,1,0,1
2024,1003,チーム3,代表者3,ダイヒョウシャ3,090-1234-5602,team3@example.com,12,7,メディカル3,コーチ3,講習者3,3,1,0,1,0
2024,1004,チーム4,代表者4,ダイヒョウシャ4,090-1234-5603,team4@example.com,13,8,メディカル4,コーチ4,講習者4,1,2,1,0,1
2024,1005,チーム5,代表者5,ダイヒョウシャ5,090-1234-5604,team5@example.com,14,9,メディカル5,コーチ5,講習者5,2,1,0,1,0
2024,1006,チーム6,代表者6,ダイヒョウシャ6,090-1234-5605,team6@example.com,15,10,メディカル6,コーチ6,講習者6,3,2,1,0,1
2024,1007,チーム7,代表者7,ダイヒョウシャ7,090-1234-5606,team7@example.com,16,11,メディカル7,コーチ7,講習者7,1,1,0,1,0
2024,1008,チーム8,代表者8,ダイヒョウシャ8,090-1234-5607,team8@example.com,17,12,メディカル8,コーチ8,講習者8,2,2,1,0,1
2024,1009,チーム9,代表者9,ダイヒョウシャ9,090-1234-5608,team9@example.com,18,13,メディカル9,コーチ9,講習者9,3,1,0,1,0
2024,1010,チーム10,代表者10,ダイヒョウシャ10,090-1234-5609,team10@example.com,19,14,メディカル10,コーチ10,講習者10,1,2,1,0,1
2024,1011,チーム11,代表者11,ダイヒョウシャ11,090-1234-5610,team11@example.com,20,15,メディカル11,コーチ11,講習者11,2,1,0,1,0
2024,1012,チーム12,代表者12,ダイヒョウシャ12,090-1234-5611,team12@example.com,21,16,メディカル12,コーチ12,講習者12,3,2,1,0,1
2024,1013,チーム13,代表者13,ダイヒョウシャ13,090-1234-5612,team13@example.com,22,17,メディカル13,コーチ13,講習者13,1,1,0,1,0
2024,1014,チーム14,代表者14,ダイヒョウシャ14,090-1234-5613,team14@example.com,23,18,メディカル14,コーチ14,講習者14,2,2,1,0,1
2024,1015,チーム15,代表者15,ダイヒョウシャ15,090-1234-5614,team15@example.com,24,19,メディカル15,コーチ15,講習者15,3,1,0,1,0
2024,1016,チーム16,代表者16,ダイヒョウシャ16,090-1234-5615,team16@example.com,25,20,メディカル16,コーチ16,講習者16,1,2,1,0,1
2024,1017,チーム17,代表者17,ダイヒョウシャ17,090-1234-5616,team17@example.com,26,21,メディカル17,コーチ17,講習者17,2,1,0,1,0
2024,1018,チーム18,代表者18,ダイヒョウシャ18,090-1234-5617,team18@example.com,27,22,メディカル18,コーチ18,講習者18,3,2,1,0,1
2024,1019,チーム19,代表者19,ダイヒョウシャ19,090-1234-5618,team19@example.com,28,23,メディカル19,コーチ19,講習者19,1,1,0,1,0
2024,1020,チーム20,代表者20,ダイヒョウシャ20,090-1234-5619,team20@example.com,29,24,メディカル20,コーチ20,講習者20,2,2,1,0,1
